Restaurant_Name,Country Code,City,Address,Locality,Locality Verbose,lon,lat,Cuisines,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
Jain Restaurant,1,New Delhi,"246/67, Opposite Prince Apartment, IP Extension, New Delhi",IP Extension,"IP Extension, New Delhi",77.2995973,28.630478999999998,North Indian,500,Indian Rupees(Rs.),Yes,No,No,No,2,0.0,White,Not rated,0
HoG - House of Goodies,1,New Delhi,"A 130, Neeti Bagh, Green Park, New Delhi",Green Park,"Green Park, New Delhi",77.2169384,28.5610837,"Bakery, Desserts",350,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,3
Veg Darbar - The Royal Taste,1,New Delhi,"Near Metro Pillar-682, Uttam Nagar West, New Delhi",Uttam Nagar,"Uttam Nagar, New Delhi",77.056812,28.622119,"North Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,3
Kocktails & Kurries,1,New Delhi,"4, Atlantic Plaza, Local Shopping Complex, IP Extension, New Delhi",IP Extension,"IP Extension, New Delhi",77.3089888,28.628080199999996,"North Indian, Chinese",950,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.1,Orange,Average,94
Cafe Coffee Day,1,New Delhi,"Opposite Easy Day Shopping Complex, B Block, Near Community Centre, Janakpuri, New Delhi",Janakpuri,"Janakpuri, New Delhi",77.0919751,28.6270907,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,3.4,Orange,Average,50
Tikka Town,1,New Delhi,"India Habitat Centre, Lodhi Road, New Delhi",Lodhi Road,"Lodhi Road, New Delhi",77.22557187,28.59026109,North Indian,550,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,53
Sainte Marie Gastronomia,30,Sï¿½ï¿½o Paulo,"Rua Dom Joï¿½ï¿½o Batista da Costa, 70, Vila Sï¿½ï¿½nia, Sï¿½ï¿½o Paulo",Vila Sï¿½ï¿½nia,"Vila Sï¿½ï¿½nia, Sï¿½ï¿½o Paulo",-46.746958,-23.609207,"Lebanese, Arabian",120,Brazilian Real(R$),No,No,No,No,4,4.1,Green,Very Good,11
Yo! Dimsum,1,Gurgaon,"Shopping Mall, Arjun Marg, DLF Phase 1, Gurgaon",DLF Phase 1,"DLF Phase 1, Gurgaon",77.0988037,28.4661923,"Fast Food, Chinese",200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Royal Kolkata Biryani,1,New Delhi,"26, Market 1, Chittaranjan Park, New Delhi",Chittaranjan Park,"Chittaranjan Park, New Delhi",77.2487302,28.5404268,"North Indian, Chinese, Biryani",500,Indian Rupees(Rs.),No,No,No,No,2,2.7,Orange,Average,14
Insomnia - Taj Vivanta,1,New Delhi,"Taj Vivanta, Subramania Bharti Marg, Sujan Singh Park, Khan Market, New Delhi","Taj Vivanta, Khan Market","Taj Vivanta, Khan Market, New Delhi",77.2294337,28.6012192,"Italian, Continental, Finger Food",3000,Indian Rupees(Rs.),Yes,No,No,No,4,3.3,Orange,Average,50
Bhagwan Sweets,1,New Delhi,"25, Krishna Market, Near Gurudwara Singh Sabha, Lajpat Nagar 1, New Delhi",Lajpat Nagar 1,"Lajpat Nagar 1, New Delhi",77.24261798,28.57557569,"Mithai, North Indian, Chinese, Street Food",250,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,8
Samrat The Cake Shoppe,1,Gurgaon,"Sohna Chowk, Old Railway Road, Gurgaon",Old Railway Road,"Old Railway Road, Gurgaon",77.0259078,28.459755600000005,"Bakery, Desserts, Fast Food",150,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average,11
Shri Balaji Shudh Vaishno Dhaba,1,Noida,"Near Hotel Ascent, Main Road, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.3551543,28.6218907,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
24 Plus Cafe & Restaurant,1,Coimbatore,"1A, Pollachi Main Road, Eachanari, Podanur, Coimbatore",Podanur,"Podanur, Coimbatore",76.971082,10.96185,"Continental, Fast Food, Desserts, Indian",450,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,24
Dilli Darbaar,1,New Delhi,"Madhu Vihar Market, IP Extension, New Delhi",IP Extension,"IP Extension, New Delhi",77.3043502,28.6360024,Street Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.1,Orange,Average,18
Roti Aur Boti,1,New Delhi,"B-177, Derawal Nagar, Gujranwala Town, New Delhi",Gujranwala Town,"Gujranwala Town, New Delhi",77.1899423,28.7016159,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,18
Gardenia - Hotel Grenville,1,Gurgaon,"Hotel Grenville, 29/4, Sector 14, Gurgaon","Hotel Grenville, MG Road","Hotel Grenville, MG Road, Gurgaon",77.03866070000001,28.4655997,"North Indian, Continental, Chinese",1500,Indian Rupees(Rs.),Yes,No,No,No,3,2.8,Orange,Average,15
Qureshi Kabab,1,New Delhi,"L-2, Gate 4, Metro Station, Khan Market, New Delhi",Khan Market,"Khan Market, New Delhi",77.2280043,28.602474,Mughlai,450,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,17
Chinese Hut,1,New Delhi,"E-6, Main Market, South Extension 2, New Delhi",South Extension 2,"South Extension 2, New Delhi",77.2212499,28.5675895,Chinese,500,Indian Rupees(Rs.),No,No,No,No,2,3.6,Yellow,Good,87
Coast Cafe,1,New Delhi,"H-2, 2nd & 3rd Floor, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.1960285,28.554511199999997,"Continental, Kerala",1400,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.5,Dark Green,Excellent,1033
Country Curries,1,New Delhi,"136, Defence Colony Flyover Market, Defence Colony, New Delhi",Defence Colony,"Defence Colony, New Delhi",77.23840289,28.57825443,"North Indian, Bengali",700,Indian Rupees(Rs.),No,Yes,No,No,2,2.7,Orange,Average,8
Anupama Snacks and Sweets Corner,1,New Delhi,"RZ H2/15, Bengali Colony, Mahavir Enclave, Palam, New Delhi",Palam,"Palam, New Delhi",77.0842816,28.6106461,Mithai,100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Smoke On Water,1,New Delhi,"D-26, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22154379999999,28.6336429,"Continental, Mexican, Burger, American, Pizza, Tex-Mex",1300,Indian Rupees(Rs.),Yes,No,No,No,3,4.1,Green,Very Good,467
Mellow Mushroom,216,Augusta,"1167 Broad St, Augusta, GA 30901",Augusta,"Augusta, Augusta",-81.9721,33.4778,"Italian, Pizza, Sandwich",25,Dollar($),No,No,No,No,2,4.4,Green,Very Good,433
Hungry Heroes,1,New Delhi,"F-135, Main Market, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.1225668,28.643146299999998,Continental,800,Indian Rupees(Rs.),Yes,Yes,No,No,2,3.8,Yellow,Good,96
Express Kitchen,1,Gurgaon,"Palam Vihar, Gurgaon",Palam Vihar,"Palam Vihar, Gurgaon",0.0,0.0,"North Indian, Chinese",600,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,4
Big Chill,1,New Delhi,"DLF Place Mall, Saket, New Delhi","DLF Place Mall, Saket","DLF Place Mall, Saket, New Delhi",77.21779615,28.52817627,"Italian, Continental, European, Cafe",1500,Indian Rupees(Rs.),No,No,No,No,3,4.4,Green,Very Good,2777
The Hudson Cafe,1,New Delhi,"2524, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",77.2043172,28.6949468,"Cafe, Italian, Continental, Chinese",850,Indian Rupees(Rs.),No,Yes,No,No,2,4.4,Green,Very Good,1537
Havemore,1,New Delhi,"11-12, Pandara Road Market, New Delhi",Pandara Road Market,"Pandara Road Market, New Delhi",77.22979980000001,28.6080483,North Indian,1500,Indian Rupees(Rs.),Yes,No,No,No,3,4.1,Green,Very Good,1157
The Garam Masala,1,New Delhi,"G-7, Aggarwal Tower, Near Ajanta Market, LSC 2, IP Extension, New Delhi",IP Extension,"IP Extension, New Delhi",77.3079824,28.627966999999998,"North Indian, Chinese",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average,60
The All American Diner,1,New Delhi,"India Habitat Centre, Lodhi Colony, New Delhi",Lodhi Colony,"Lodhi Colony, New Delhi",77.2258757,28.588778899999998,"American, Fast Food",1000,Indian Rupees(Rs.),No,No,No,No,3,4.1,Green,Very Good,3495
Dilli Darbar,1,Gurgaon,"UGF 138, Vypaar Kendra Market, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",77.0843946,28.460252899999997,"North Indian, Mughlai, Chinese",550,Indian Rupees(Rs.),No,Yes,No,No,2,3.7,Yellow,Good,52
Shree Meenakshi Dosai,1,New Delhi,"29/2, Opposite Gate 3,  Ashok Nagar, Jail Road, New Delhi",Jail Road,"Jail Road, New Delhi",77.0970387,28.6358663,South Indian,250,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,8
Cakes & Bakes,1,New Delhi,"C-77, Shivalik Road, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi",77.210737,28.537819199999998,"Bakery, Desserts",500,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,75
Falafel Lovers,1,Surat,"LG-5/6/19, Megh Mayur Plaza, Parle Point, Surat, City Light, Surat",City Light,"City Light, Surat",72.79273096,21.17334339,"Lebanese, Italian",650,Indian Rupees(Rs.),No,No,No,No,2,4.3,Green,Very Good,479
Khan Chicken Biryani,1,New Delhi,"Opposite LIC Office, Community Centre, New Friends Colony, New Delhi","Community Centre, New Friends Colony","Community Centre, New Friends Colony, New Delhi",77.26784986,28.56181849,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,14
Percussion,1,Lucknow,"2/139, Vijay Khand, Next to Gomti Nagar Police Station, Gomti Nagar, Lucknow",Gomti Nagar,"Gomti Nagar, Lucknow",80.99459590000001,26.8551778,"Continental, North Indian, Asian",1000,Indian Rupees(Rs.),No,No,No,No,3,3.7,Yellow,Good,514
Pizza Diet,1,New Delhi,"C-2/166, Main Jain Mandir Road, Yamuna Vihar, Shahdara, New Delhi",Shahdara,"Shahdara, New Delhi",77.27689609999999,28.7004582,"Pizza, Fast Food",450,Indian Rupees(Rs.),No,No,No,No,1,2.8,Orange,Average,6
Granny's Flavour,1,New Delhi,"11/7 Purvanchal Plaza, Mayur Vihar Phase 2, New Delhi",Mayur Vihar Phase 2,"Mayur Vihar Phase 2, New Delhi",77.30141640000001,28.6195294,Street Food,150,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,16
Rambhoj,1,New Delhi,"1894, Main Road, Opposite Dariba Kalan, Chandni Chowk, New Delhi",Chandni Chowk,"Chandni Chowk, New Delhi",77.2324772,28.656298100000004,"North Indian, South Indian",150,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
Tasty Tandoor,1,New Delhi,"726/2, Jheel Khuranja, Geeta Colony, New Delhi",Geeta Colony,"Geeta Colony, New Delhi",77.27505159,28.65821556,North Indian,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Kwality Pastry Parlour,1,New Delhi,"3, AL Market, Shalimar Bagh, New Delhi",Shalimar Bagh,"Shalimar Bagh, New Delhi",77.1618624,28.703549900000002,"Bakery, Desserts",200,Indian Rupees(Rs.),No,No,No,No,1,3.5,Yellow,Good,51
That Place,1,Vadodara,"33, Sampatrao Colony, Alkapuri, Vadodara",Alkapuri,"Alkapuri, Vadodara",0.0,0.0,"Italian, Mexican, Continental",1500,Indian Rupees(Rs.),No,No,No,No,4,4.4,Green,Very Good,276
Panj Taara,1,New Delhi,"C 1/10, Lal Quarter, Krishna Nagar, New Delhi",Krishna Nagar,"Krishna Nagar, New Delhi",77.2805179,28.6573761,North Indian,600,Indian Rupees(Rs.),No,No,No,No,2,3.1,Orange,Average,8
Fresh Meat CO,1,New Delhi,"Shop 124, Shanker Road Market, Rajinder Nagar, New Delhi",Rajinder Nagar,"Rajinder Nagar, New Delhi",77.18041269999999,28.6380933,"Raw Meats, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,4
The Paddington,191,Colombo,"36, Barnes Place, Cinnamon Gardens, Colombo 07","Cinnamon Gardens, Colombo 07","Cinnamon Gardens, Colombo 07, Colombo",79.86849167,6.913291667,"Cafe, Italian",2000,Sri Lankan Rupee(LKR),No,No,No,No,3,3.6,Yellow,Good,83
The Grand,1,Noida,"G-5, Tulip Mall, Sector 48, Noida","Tulip Mall, Sector 48, Noida","Tulip Mall, Sector 48, Noida, Noida",77.367188,28.557851799999998,"Raw Meats, Fast Food",250,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Food Tamasha & Co.,1,Noida,"Greater Noida, Noida",Greater Noida,"Greater Noida, Noida",77.5078806,28.4668203,North Indian,600,Indian Rupees(Rs.),No,Yes,No,No,2,3.2,Orange,Average,24
More Than Cafï¿½ï¿½,1,Noida,"Shop 26, Sector 27, Noida",Sector 27,"Sector 27, Noida",77.3282646,28.57438086,Fast Food,400,Indian Rupees(Rs.),No,No,No,No,1,3.0,Orange,Average,5
Bikanervala,1,New Delhi,"A-2/43, 1st Floor, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.12273979999999,28.6485357,"North Indian, South Indian, Fast Food, Street Food, Chinese, Beverages, Desserts, Mithai",550,Indian Rupees(Rs.),No,No,No,No,2,3.8,Yellow,Good,334
Zaffran - The Claremont,1,Gurgaon,"The Claremont Hotel & Convention Centre, Near Aya Nagar, MG Road, Gurgaon","The Claremont, MG Road","The Claremont, MG Road, Gurgaon",77.07322020000001,28.4782126,"Mughlai, Lucknowi, Awadhi",2500,Indian Rupees(Rs.),Yes,No,No,No,4,3.0,Orange,Average,4
Hotel Laadli,1,Aurangabad,"Goodwill Complex, Opposite Cidco Busstand, N-2, CIDCO, Aurangabad",CIDCO,"CIDCO, Aurangabad",75.3671268,19.8755223,"North Indian, South Indian",350,Indian Rupees(Rs.),No,No,No,No,2,3.4,Orange,Average,46
Nirmala's,1,Noida,"Shop 1, Near Neo Hospital, Sector 50, Noida",Sector 50,"Sector 50, Noida",77.37040259999999,28.5694331,"North Indian, Chinese",450,Indian Rupees(Rs.),No,Yes,No,No,1,3.4,Orange,Average,51
Punjabi By Nature,1,New Delhi,"30-B, F Block, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.2197679,28.6308511,"North Indian, Mughlai",1100,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.7,Yellow,Good,1256
Cha Bar,1,New Delhi,"N-81, Oxford Bookstore, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.22215876,28.63122333,Cafe,500,Indian Rupees(Rs.),No,No,No,No,2,3.9,Yellow,Good,3206
Domino's Pizza,1,Noida,"Ground Floor, Botanical Garden, Metro Station, Sector 38, Noida",Sector 38,"Sector 38, Noida",77.334211,28.564221999999997,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,No,No,2,2.4,Red,Poor,70
Shree Rathnam,1,Noida,"309, 3rd Floor, The Great India Place, Sector 38-A, Sector 38, Noida","The Great India Place, Sector 38","The Great India Place, Sector 38, Noida",77.3261382,28.5680132,"South Indian, North Indian, Chinese",800,Indian Rupees(Rs.),No,No,No,No,2,3.5,Yellow,Good,139
Sevilla - The Claridges,1,New Delhi,"The Claridges, 12, Dr. A.P.J. Abdul Kalam Road, Aurangzeb Road, New Delhi","The Claridges, Aurangzeb Road","The Claridges, Aurangzeb Road, New Delhi",77.2168927,28.6001767,"Spanish, Italian",4500,Indian Rupees(Rs.),Yes,No,No,No,4,4.3,Green,Very Good,800
Masters Caterer,1,Noida,"C-28/29, Food Court, Tower B, Logix Cyber Park, Sector 62, Noida",Sector 62,"Sector 62, Noida",77.36667220000001,28.6127402,"North Indian, Chinese",400,Indian Rupees(Rs.),No,No,No,No,1,2.9,Orange,Average,6
Barbeque Nation,1,Kanpur,"16/113, 3rd Floor, Z Square Mall, MG Marg, Mall Road, Kanpur","Z Square Mall, Mall Road","Z Square Mall, Mall Road, Kanpur",80.35,26.47,"North Indian, Mughlai, Lebanese, Arabian, Mediterranean",1400,Indian Rupees(Rs.),No,No,No,No,3,4.0,Green,Very Good,41
Castle 9,1,New Delhi,"B-45/47, 1st Floor, Near PVR Plaza, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.2194984,28.6348572,"Finger Food, Continental, North Indian, Chinese",1350,Indian Rupees(Rs.),Yes,No,No,No,3,3.1,Orange,Average,1099
S.K. Fast Food,1,New Delhi,"161/32, Shop 3 Joga Bai, Main Road, Zakir Nagar, New Delhi",Zakir Nagar,"Zakir Nagar, New Delhi",77.28382677,28.56618897,Chinese,350,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Deepu Fish & Chicken,1,New Delhi,"A 11, Krishna Nagar, New Delhi",Krishna Nagar,"Krishna Nagar, New Delhi",77.27628940000001,28.6588582,North Indian,500,Indian Rupees(Rs.),No,No,No,No,2,0.0,White,Not rated,2
Mangal Sweets,1,New Delhi,"6 LSC, RSN Arcade, New Prince Apartments, IP Extension, New Delhi",IP Extension,"IP Extension, New Delhi",77.30154350000001,28.630452299999998,"North Indian, Chinese, South Indian, Street Food, Mithai",400,Indian Rupees(Rs.),No,Yes,No,No,1,2.4,Red,Poor,166
Flavours From Heaven,1,New Delhi,"Building 6, Laxmi Garden, Opposite Metro Pillar 337, Near Ramesh Nagar Metro Station, Kirti Nagar, New Delhi",Kirti Nagar,"Kirti Nagar, New Delhi",77.136123,28.6541881,"North Indian, Chinese",650,Indian Rupees(Rs.),No,No,No,No,2,3.3,Orange,Average,12
Shree Laxmi Dhaba,1,New Delhi,"Opposite Fortis Escorts Hospital, Sarai Julena, New Friends Colony, New Delhi",New Friends Colony,"New Friends Colony, New Delhi",77.27276031,28.56047774,North Indian,100,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,3
Smokey's BBQ and Grill,1,New Delhi,"51, 1st Floor, Khan Market, New Delhi",Khan Market,"Khan Market, New Delhi",77.2274475,28.6007136,"American, European",2100,Indian Rupees(Rs.),Yes,Yes,No,No,4,4.2,Green,Very Good,578
Cafe Coffee Day,1,New Delhi,"Ground Floor, Fortis Hospital, Shalimar Bagh, New Delhi",Shalimar Bagh,"Shalimar Bagh, New Delhi",77.1698154,28.7090143,Cafe,450,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Habibi,1,New Delhi,"DLF Place Mall, Opposite Hilton Garden Hotel, Saket, New Delhi","DLF Place Mall, Saket","DLF Place Mall, Saket, New Delhi",77.2170282,28.527655,"Middle Eastern, Mediterranean, North Indian",1800,Indian Rupees(Rs.),Yes,Yes,No,No,3,3.1,Orange,Average,134
Welcome Rasoi,1,New Delhi,"Near Naresh Park, Najafgarh Road, Nangloi, New Delhi",Nangloi,"Nangloi, New Delhi",77.06543459999999,28.67898074,"North Indian, Fast Food",300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Aggarwal Jalebi Wale,1,New Delhi,"Opposite Avtaar Dhaba, Milap Nagar, Uttam Nagar, New Delhi",Uttam Nagar,"Uttam Nagar, New Delhi",77.063507,28.6217187,Street Food,50,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,3
Maini Restaurant,1,Ghaziabad,"A Block Market, Surya Nagar, Ghaziabad",Surya Nagar,"Surya Nagar, Ghaziabad",77.3252184,28.6698582,"North Indian, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,3.3,Orange,Average,114
LeanBodyMeals,1,Gurgaon,"Sector 31, Gurgaon",Sector 31,"Sector 31, Gurgaon",77.05551899999999,28.455681,"Healthy Food, Salad, Italian, Continental",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,144
Touch of Punjab,1,New Delhi,"Shop 5, IGNOU Road, Saket, New Delhi",Saket,"Saket, New Delhi",77.2046959,28.51435543,"North Indian, Mughlai",700,Indian Rupees(Rs.),No,No,No,No,2,2.9,Orange,Average,33
De Royale Food's,1,New Delhi,"B 53, Main Road, Kalkaji, New Delhi",Kalkaji,"Kalkaji, New Delhi",77.25107197,28.54423341,"North Indian, Chinese",550,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,22
Dadu Cutlet Shop,1,New Delhi,"39, C.S.C Market 2, Chittaranjan Park, New Delhi",Chittaranjan Park,"Chittaranjan Park, New Delhi",77.25329351,28.53622856,Fast Food,100,Indian Rupees(Rs.),No,No,No,No,1,3.7,Yellow,Good,99
Tikka Town,1,New Delhi,"Food Court, 2nd Floor, DLF Promenade Mall, Vasant Kunj, New Delhi","DLF Promenade Mall, Vasant Kunj","DLF Promenade Mall, Vasant Kunj, New Delhi",77.15555390000002,28.542906899999995,North Indian,550,Indian Rupees(Rs.),No,No,No,No,2,3.2,Orange,Average,118
Scoopers 'n' Bakers,1,New Delhi,"C-199, Jhilmil Colony, Near Gopal Jee Dairy, Vivek Vihar, New Delhi",Vivek Vihar,"Vivek Vihar, New Delhi",77.31213246,28.66842304,Bakery,200,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Salato Salad Studio,1,Noida,"Block C Road, Sector 41, Noida",Sector 41,"Sector 41, Noida",77.362094,28.569278999999998,"Salad, Continental",500,Indian Rupees(Rs.),No,Yes,No,No,2,4.1,Green,Very Good,43
Behrouz Biryani,1,New Delhi,"Shop 11, 1st Floor, Sector 8 Market, R K Puram, New Delhi",R K Puram,"R K Puram, New Delhi",77.16713349999999,28.572416600000004,Biryani,600,Indian Rupees(Rs.),No,Yes,No,No,2,0.0,White,Not rated,0
Speziato Foods,1,Noida,"Shop 6, A Block Market, Sector 44, Noida",Sector 44,"Sector 44, Noida",0.0,0.0,"North Indian, Mughlai",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Yadav Sweets,1,New Delhi,"Old Rangpuri, Near Sabzi Mandi, Mahipalpur, New Delhi",Mahipalpur,"Mahipalpur, New Delhi",77.126764,28.544261900000002,"Mithai, Street Food",150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,1
Kamala Fast Food & Chinese,1,New Delhi,"32, Market  2, Chittaranjan Park, New Delhi",Chittaranjan Park,"Chittaranjan Park, New Delhi",77.25298069,28.5359835,"Fast Food, Chinese",300,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,2
Subway,1,Gurgaon,"Shop 4A, 3rd Floor, Food Court, MGF Metropolitan Mall, MG Road, Gurgaon","MGF Metropolitan Mall, MG Road","MGF Metropolitan Mall, MG Road, Gurgaon",77.08021240000001,28.4804762,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.3,Orange,Average,81
Ting's Red Lantern,216,Cedar Rapids/Iowa City,"540 Boyson Rd NE, Cedar Rapids, IA 52402",Cedar Rapids,"Cedar Rapids, Cedar Rapids/Iowa City",-91.6394,42.0468,Chinese,10,Dollar($),No,No,No,No,1,4.2,Green,Very Good,347
Pandey Ji Restaurant,1,New Delhi,"F-226, Katwaria Sarai, Qutab Institutional Area, New Delhi",Qutab Institutional Area,"Qutab Institutional Area, New Delhi",77.18608741,28.54186954,"North Indian, Chinese",150,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Aahar Meat and Chicken Shop,1,New Delhi,"F-6, Pushpa Bhawan, Alaknanda Shopping Complex, Alaknanda, New Delhi",Alaknanda,"Alaknanda, New Delhi",77.25,28.52,"Raw Meats, Fast Food",400,Indian Rupees(Rs.),No,No,No,No,1,0.0,White,Not rated,0
Dewan Sweets,1,New Delhi,"1, Pocket F, G-8 Area, Hari Nagar, Jail Road, New Delhi",Jail Road,"Jail Road, New Delhi",77.1108383,28.619638800000004,"Desserts, Street Food",100,Indian Rupees(Rs.),No,Yes,No,No,1,3.3,Orange,Average,18
Coco Bambu,30,Brasï¿½_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasï¿½_lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Brasï¿½_lia",-47.8685,-15.819,International,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30
