Restaurant_Name,City,Address,Locality,Locality Verbose,lon,lat,cost_for_two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price_Range,Rating,Rating color,Review,Votes
Pizza Hut,Sharjah,"Next to Safeer Mall, Al Nahda, Sharjah",Al Nahda,"Al Nahda, Sharjah",55.37454341,25.30564046,80,Emirati Diram(AED),No,No,No,No,3,2,Red,Poor,154
Flavors of Chennai,New Delhi,"6, Corner Market, Near Hanuman Temple, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi",77.2136687,28.538921999999996,400,Indian Rupees(Rs.),No,Yes,No,No,1,3,Yellow,Good,370
Kerala Kitchen & Restaurant,New Delhi,"F-228, Lado Sarai, Mehrauli, New Delhi",Mehrauli,"Mehrauli, New Delhi",77.1937384,28.527825,250,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Subway,New Delhi,"A5B/66A, Lal Sai Mandir Marg, Near C2 Bus Stand, Janakpuri, New Delhi",Janakpuri,"Janakpuri, New Delhi",77.0844615,28.621949600000004,500,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,69
From The Kitchen of Mala Bindra,New Delhi,"2, 2nd Floor, Palam Marg, Rear Block, Vasant Vihar, New Delhi",Vasant Vihar,"Vasant Vihar, New Delhi",77.1624016,28.571381,250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,9
Vista - The Park,Vizag,"The Park, Beach Road, Pedda Waltair, Lawsons Bay, Visakhapatnam, Lawsons Bay, Vizag","The Park, Lawsons Bay","The Park, Lawsons Bay, Vizag",83.33684000000001,17.721182000000002,1500,Indian Rupees(Rs.),No,No,No,No,4,3,Yellow,Good,74
Laxmi Ice Cream Parlour,New Delhi,"QU 4, Near Wah Bhai Wah, Pitampura, New Delhi",Pitampura,"Pitampura, New Delhi",77.14164050000001,28.7119934,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,12
Cafe Coffee Day The Square,New Delhi,"44, Janpath, New Delhi",Janpath,"Janpath, New Delhi",77.2194865,28.626685,700,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,49
Mamma Mia - Mayfair Lagoon,Bhubaneshwar,"Mayfair Lagoon, 8-B, Jayadev Vihar, Bhubaneshwar","Mayfair Lagoon, Jayadev Vihar","Mayfair Lagoon, Jayadev Vihar, Bhubaneshwar",85.81917800000001,20.301785,1400,Indian Rupees(Rs.),No,No,No,No,3,4,Green,Very Good,256
Kareem's Kabab & Biryani,Aurangabad,"First Floor, Food Court, Prozone Mall, MIDC Industrial Area, Chicalthana, Aurangabad","Prozone Mall, Chicalthana","Prozone Mall, Chicalthana, Aurangabad",75.37235278,19.87699444,650,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,39
Kinbuck 2,New Delhi,"P-10/90, 1st & 2nd Floor, Outer Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.2163994,28.6320976,1600,Indian Rupees(Rs.),No,No,No,No,3,3,Yellow,Good,1286
Flavours of Tibet,New Delhi,"70-D, 1st Floor, Humayunpur Chowk, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,"Safdarjung, New Delhi",77.19393991,28.56177343,500,Indian Rupees(Rs.),No,Yes,No,No,2,3,Orange,Average,141
"Vanshika Indian, Chinese, & Parantha Corner",Noida,"D-15, Bhai Ji Market, Near Bishanpura Village, Sector 58, Noida",Sector 58,"Sector 58, Noida",77.3597643,28.6086827,300,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,29
Lola's Cafe,Noida,"Paras Tiera, Sector 137, Near Sector 132, Noida",Sector 132,"Sector 132, Noida",77.4132861,28.5074131,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Amar Bakery,New Delhi,"72-B, Vikas Marg, Opposite Metro Pillar 50, Laxmi Nagar, New Delhi",Laxmi Nagar,"Laxmi Nagar, New Delhi",77.2828507,28.6340688,250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,13
Chination,Noida,"Sector 110, Noida",Sector 110,"Sector 110, Noida",77.38698520000001,28.53309897,700,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,3
Cafe Coffee Day,Gurgaon,"F-13, Qutub Plaza, DLF Phase 1, Gurgaon","Qutab Plaza, DLF Phase 1","Qutab Plaza, DLF Phase 1, Gurgaon",77.1017259,28.471807199999997,450,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,18
Fabulous Cake Bites,New Delhi,"C- 339, Vivek Vihar, New Delhi",Vivek Vihar,"Vivek Vihar, New Delhi",77.317225,28.667209999999997,400,Indian Rupees(Rs.),No,Yes,No,No,1,3,Orange,Average,33
Mr.Hunger,New Delhi,"24B/8, Mall Road, Tilak Nagar, New Delhi",Tilak Nagar,"Tilak Nagar, New Delhi",77.0937942,28.636839799999997,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,5
Dunkin' Donuts,New Delhi,"1/2, Ground Floor, Opposite Patel Nagar Metro Station, East Patel Nagar, New Delhi",East Patel Nagar,"East Patel Nagar, New Delhi",77.1695686,28.644937300000002,600,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,177
Giani,New Delhi,"AB-15, Safdarjung, New Delhi",Safdarjung,"Safdarjung, New Delhi",77.19906359999999,28.56542249,300,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,9
Taj Chicken Point,New Delhi,"1205,   Behind Delite Cinema, Daryaganj, New Delhi Daryaganj",Daryaganj,"Daryaganj, New Delhi",0.0,0.0,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Aggarwal Bikaner Sweets Corner,New Delhi,"255, Yamuna Vihar, Shahdara, New Delhi",Shahdara,"Shahdara, New Delhi",77.27540379999999,28.7006707,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,2
Pitstop,Noida,"Glued Reloaded, Dynamic House, Opposite Petrol Pump, Dadri Main Road, Sector 41, Noida",Sector 41,"Sector 41, Noida",77.3609755,28.5615028,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,2
Bhogalji Bikaner Sweets,New Delhi,"A-353, Derawal Nagar, Gujranwala Town, New Delhi",Gujranwala Town,"Gujranwala Town, New Delhi",77.18863990000001,28.7002971,100,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,6
The Big Mouth,Sandton,"Nelson Mandela Square, Corner Maude & 5th Streets, Sandown, Sandton","Nelson Mandela Square, Sandown","Nelson Mandela Square, Sandown, Sandton",28.05466667,-26.1075,400,Rand(R),No,No,No,No,4,4,Green,Very Good,430
Old Town Cafe,New Delhi,"111, Shahpur Jat, New Delhi",Shahpur Jat,"Shahpur Jat, New Delhi",77.2154563,28.549065399999996,800,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,119
Cafetorium,New Delhi,"D2/G1, D Block Market, Opposite Arwachin School, Vivek Vihar, New Delhi",Vivek Vihar,"Vivek Vihar, New Delhi",77.31794111,28.66686832,600,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,122
La Parada,Cape Town,"107 Bree Street, CBD, Cape Town",CBD,"CBD, Cape Town",18.41789313,-33.92154333,360,Rand(R),No,No,No,No,4,3,Yellow,Good,255
Foodaholic,New Delhi,"ED 118, Tagore Garden, New Delhi",Tagore Garden,"Tagore Garden, New Delhi",77.1151402,28.648810700000002,400,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Nazeer Foods,New Delhi,"Shop 71, Desh Bandu Gupta Road, Opposite PP Jewelers, Karol Bagh, New Delhi",Karol Bagh,"Karol Bagh, New Delhi",77.1941204,28.652187100000003,600,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,27
Cafe Coffee Day,New Delhi,"C 9, New Krishna Park, Vikaspuri, New Delhi",Vikaspuri,"Vikaspuri, New Delhi",77.0764578,28.629417699999998,450,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,16
Qureshi's Kabab Corner,New Delhi,"82, Flyover Market, Defence Colony, New Delhi",Defence Colony,"Defence Colony, New Delhi",77.238764,28.5783096,600,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,35
Captain Bill$ Deliverz,Gurgaon,"Golf Course Road, Gurgaon",Golf Course Road,"Golf Course Road, Gurgaon",77.08932303,28.43230959,1000,Indian Rupees(Rs.),No,Yes,Yes,No,3,2,Orange,Average,185
Green Chick Chop,New Delhi,"Shop 12, Old Market, Ramesh Nagar, Near Kirti Nagar, New Delhi",Kirti Nagar,"Kirti Nagar, New Delhi",77.1321064,28.6497956,350,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,23
Gero,Brasï¿½_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, Brasï¿½_lia","Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, Brasï¿½_lia",-47.885812,-15.720118,350,Brazilian Real(R$),No,No,No,No,4,3,Orange,Average,8
Latitude - Mosaic Hotels,Noida,"Mosaic Hotels, C-1, Sector 18, Noida","Mosaic Hotels, Sector 18, Noida ","Mosaic Hotels, Sector 18, Noida , Noida",77.32554484,28.57102038,1700,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,61
Barista,Noida,"Botanical Garden Metro Station, Ground Floor, Sector 38, Noida",Sector 38,"Sector 38, Noida",77.334633,28.5640131,650,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,26
44 Grills,Noida,"Street 3, Sector 44, Noida",Sector 44,"Sector 44, Noida",77.339363,28.554040999999998,500,Indian Rupees(Rs.),No,Yes,No,No,2,0,White,Not rated,0
Meenakshi Bhawan,New Delhi,"BE-334, Main Road, Hari Nagar, Mayapuri Phase 2, New Delhi",Mayapuri Phase 2,"Mayapuri Phase 2, New Delhi",77.119336,28.6307842,300,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,14
Tpot,New Delhi,"Basement, MLCP Parking, Terminal 3, Aerocity, New Delhi",Aerocity,"Aerocity, New Delhi",77.087897,28.554463000000002,800,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,0
Lahorian's Sweets & Bakers,New Delhi,"Shop 5, Plot 101, Gali 15, Pratap Nagar, Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.29356899999999,28.6044435,250,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,5
Bonne Bouche,New Delhi,"Shop 16, 1st Floor, Defence Colony Market, Defence Colony, New Delhi",Defence Colony,"Defence Colony, New Delhi",77.2300522,28.573447100000003,1750,Indian Rupees(Rs.),Yes,Yes,No,No,3,4,Green,Very Good,711
El Vaquero Mexican Restaurant,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",-84.2194,31.6158,0,Dollar($),No,No,No,No,1,3,Orange,Average,45
Call For Cuisine - Hotel Grenville,Gurgaon,"Hotel Grenville, 29/4, Near Kalyani Hospital, Opposite SBI Gurgaon, Sector 14, Gurgaon","Hotel Grenville, MG Road","Hotel Grenville, MG Road, Gurgaon",77.038546,28.465568100000006,600,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,2
Delicacies,Noida,"Paramount Floraville, Sector 137, Near, Sector 132, Noida",Sector 132,"Sector 132, Noida",77.40778303,28.50763882,500,Indian Rupees(Rs.),No,No,No,No,2,0,White,Not rated,1
Hot Stuff,New Delhi,"B Block, Shopping Centre, Tagore Garden, New Delhi",Tagore Garden,"Tagore Garden, New Delhi",77.1127855,28.646237100000004,450,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,14
The Oven Artist,Gurgaon,"191, New Colony, Near Old Railway Road, Gurgaon",Old Railway Road,"Old Railway Road, Gurgaon",77.01571750000001,28.465205400000002,800,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,25
Sky Beach,Jaipur,"328-329, Above Watch Factory, Queens Road, Vaishali Nagar, Jaipur",Vaishali Nagar,"Vaishali Nagar, Jaipur",75.75289118,26.91398711,1000,Indian Rupees(Rs.),No,No,No,No,3,2,Orange,Average,46
Hunger Flames,New Delhi,"15, DDA Market 3, Satyawati Nagar, Ashok Vihar Phase 3, New Delhi",Ashok Vihar Phase 3,"Ashok Vihar Phase 3, New Delhi",77.1835542,28.687223200000002,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,17
Willoughby & Co.,Cape Town,"Ground Level, Victoria Wharf, V & A Waterfront, Cape Town","Victoria Wharf, V & A Waterfront","Victoria Wharf, V & A Waterfront, Cape Town",18.421,-33.90416667,570,Rand(R),No,No,No,No,4,4,Green,Very Good,466
Big Wong,New Delhi,"28, Shopping Complex, Panchsheel Park, New Delhi",Panchsheel Park,"Panchsheel Park, New Delhi",77.2112423,28.548080600000006,900,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,108
Cafe Coffee Day,New Delhi,"30/3A, Ashok Nagar, Near Metro Station, Tilak Nagar, Jail Road, New Delhi",Jail Road,"Jail Road, New Delhi",77.0971876,28.636282799999996,450,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,5
Burger's Kitchen,Noida,"Behind Metro Hospital, X Block Market, Sector 12, Noida",Sector 12,"Sector 12, Noida",77.33823149999999,28.597157799999998,350,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,31
Firangi Island,New Delhi,"62, Rama Road, Kirti Nagar, New Delhi",Kirti Nagar,"Kirti Nagar, New Delhi",77.15198240000001,28.657538300000002,1200,Indian Rupees(Rs.),Yes,No,No,No,3,3,Yellow,Good,21
Eat at Thai,Gainesville,"975 Dawsonville Hwy, Gainesville, GA 30501",Gainesville,"Gainesville, Gainesville",-83.85799300000001,34.300182,10,Dollar($),No,No,No,No,1,4,Dark Green,Excellent,357
Standard Ice Cream,New Delhi,"BL Block, Shalimar Bagh, New Delhi",Shalimar Bagh,"Shalimar Bagh, New Delhi",77.1603347,28.7109248,100,Indian Rupees(Rs.),No,No,No,No,1,3,Yellow,Good,31
Clove - The Galgotias,Gurgaon,"The Galgotias Hotel, 4, Sector 23 A, Sector 23, Gurgaon","The Galgotias, Sector 23","The Galgotias, Sector 23, Gurgaon",77.0529662,28.504749100000005,1500,Indian Rupees(Rs.),Yes,No,No,No,3,2,Orange,Average,19
Applebee's,Abu Dhabi,"Level 3, Mushrif Mall, Al Mushrif, Abu Dhabi","Mushrif Mall, Al Mushrif","Mushrif Mall, Al Mushrif, Abu Dhabi",54.41314146,24.43409939,250,Emirati Diram(AED),No,Yes,No,No,4,4,Green,Very Good,205
Cafe Lounge,Noida,"Eco Suites By Hyphen, GH 03, Adjacent Supertech Ecociti, Sector 137, Near Sector 132, Noida",Sector 132,"Sector 132, Noida",0.0,0.0,350,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Tikka Tonight,Abu Dhabi,"Behind RAK Bank, Sanaiya ME11, Mussafah Sanaiya, Abu Dhabi",Mussafah Sanaiya,"Mussafah Sanaiya, Abu Dhabi",54.51003961,24.36312973,50,Emirati Diram(AED),No,Yes,No,No,2,4,Green,Very Good,277
Chai Garam,New Delhi,"Food Court, Level 2, World mark 1, Aerocity, New Delhi","Worldmark 1, Aerocity","Worldmark 1, Aerocity, New Delhi",0.0,0.0,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,1
Tak - a - Tak,New Delhi,"Shop 31, B Block, DDA Market, Jail Road, New Delhi",Jail Road,"Jail Road, New Delhi",77.0976322,28.630997100000002,300,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,14
Keventers,New Delhi,"Food Court, 2nd Floor, DLF Promenade Mall, Vasant Kunj, New Delhi","DLF Promenade Mall, Vasant Kunj","DLF Promenade Mall, Vasant Kunj, New Delhi",77.15570837,28.542738699999997,400,Indian Rupees(Rs.),No,No,No,No,1,3,Yellow,Good,154
Shanghai Restaurant,New Delhi,"9, Satyaniketan Market, Satyaniketan, New Delhi",Satyaniketan,"Satyaniketan, New Delhi",77.16914150000001,28.587528999999996,300,Indian Rupees(Rs.),No,No,No,No,1,2,Orange,Average,23
Cake Maker,Gurgaon,"2322/3, Opposite Air Force School, Ground Floor, Excel House, Old Delhi Road, Near Sector 14, Gurgaon",Sector 14,"Sector 14, Gurgaon",77.0424008,28.4741041,200,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,5
World Cafe - Vibe by The LaLiT Traveller,Faridabad,"Vibe by The Lalit Traveller, 12/7, Sector 35, Faridabad","Vibe by The LaLit Traveller, Mathura Road","Vibe by The LaLit Traveller, Mathura Road, Faridabad",77.30607320000001,28.472912400000002,1900,Indian Rupees(Rs.),Yes,No,No,No,3,3,Orange,Average,56
Capital Craft Beer Academy,Pretoria,"Greenlyn Village, Shop 20, 13th Street, Menlo Park, Near, Lynnwood, Pretoria","Greenlyn Village, Menlopark, Near Lynnwood","Greenlyn Village, Menlopark, Near Lynnwood, Pretoria",28.25643333,-25.76973333,200,Rand(R),No,No,No,No,3,4,Green,Very Good,301
Chinese Corner,New Delhi,"A-263, Vishwakarma Colony, MB Road, Near, Okhla Phase 1, New Delhi",Okhla Phase 1,"Okhla Phase 1, New Delhi",77.28726067,28.50184423,300,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Coal Barbecues,Chennai,"17-18, Rajalakshmi Nagar, 7th Cross Street, 100 Feet Bypass Road, Velachery, Chennai",Velachery,"Velachery, Chennai",80.21811381,12.98604688,1400,Indian Rupees(Rs.),No,No,No,No,3,4,Dark Green,Excellent,1267
Kk Chaap Express,Gurgaon,"HUDA Market, Sector 31, Gurgaon",Sector 31,"Sector 31, Gurgaon",77.05063170000001,28.452741200000002,250,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,8
Garage Inc.,New Delhi,"30, 2nd Floor, Powerhouse Buliding, Hauz Khas Village, New Delhi",Hauz Khas Village,"Hauz Khas Village, New Delhi",77.194918,28.5538347,1900,Indian Rupees(Rs.),Yes,Yes,No,No,3,3,Orange,Average,763
Pizza Hut,New Delhi,"17, Mangalam Place, Aggarwal City Plaza, Rohini, New Delhi","Aggarwal City Plaza, Rohini","Aggarwal City Plaza, Rohini, New Delhi",77.11726290000001,28.7006935,1000,Indian Rupees(Rs.),No,Yes,No,No,3,2,Orange,Average,125
The Machine Shed Restaurant,Des Moines,"11151 Hickman Road, Urbandale, IA 50322",Urbandale,"Urbandale, Des Moines",-93.772033,41.615083,25,Dollar($),No,No,No,No,2,3,Yellow,Good,308
Foodie Xpress,Gurgaon,"Plot 52, Sector 56, Gurgaon",Sector 56,"Sector 56, Gurgaon",0.0,0.0,200,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Urban Dhaba,New Delhi,"C-6, Opposite IIT Main Gate, SDA, New Delhi",SDA,"SDA, New Delhi",77.1969505,28.5467635,550,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,40
Mr. Sub,New Delhi,"Unity One, Near Rohini West Metro Station, Rohini, New Delhi",Rohini,"Rohini, New Delhi",77.11629090000001,28.714835100000002,400,Indian Rupees(Rs.),No,Yes,No,No,1,3,Yellow,Good,42
Bikanervala,New Delhi,"30, Aditya Arcade, Community Centre, Preet Vihar, New Delhi",Preet Vihar,"Preet Vihar, New Delhi",77.29477829999999,28.6393251,500,Indian Rupees(Rs.),No,No,No,No,2,3,Orange,Average,81
Happy Beings,Gurgaon,"50/21, U Block, DLF Phase 3, Gurgaon",DLF Phase 3,"DLF Phase 3, Gurgaon",77.094627,28.490665999999997,500,Indian Rupees(Rs.),No,Yes,No,No,2,3,Yellow,Good,66
Maharaja Restaurant,Mangalore,"1st Floor, Trade Centre, Near Jyothi Circle, Bunts Hostel Road, Balmatta, Mangalore",Balmatta,"Balmatta, Mangalore",74.84863333,12.87378611,700,Indian Rupees(Rs.),No,No,No,No,2,3,Yellow,Good,275
Tea Lounge - Eros Hotel,New Delhi,"Eros Hotel, American Plaza, Nehru Place, New Delhi","Eros Hotel, Nehru Place","Eros Hotel, Nehru Place, New Delhi",77.24954059999999,28.549932199999997,1800,Indian Rupees(Rs.),No,No,No,No,3,3,Orange,Average,21
Sidhi Cafe,New Delhi,"D65/2, Gautam Nagar, New Delhi, Yusuf Sarai, New Delhi",Yusuf Sarai,"Yusuf Sarai, New Delhi",77.2132249,28.5616007,100,Indian Rupees(Rs.),No,No,No,No,1,0,White,Not rated,0
Wokin Street,New Delhi,"28, UA, Jawahar Nagar, Opposite Hansraj College Gate 5, Kamla Nagar, New Delhi",Kamla Nagar,"Kamla Nagar, New Delhi",77.20834509999999,28.680144399999996,300,Indian Rupees(Rs.),No,Yes,No,No,1,3,Yellow,Good,25
Himalaya Food Corner,New Delhi,"C-24, Acharya Niketan, Near ICICI Bank, Mayur Vihar Phase 1, New Delhi",Mayur Vihar Phase 1,"Mayur Vihar Phase 1, New Delhi",77.2956989,28.607826300000003,500,Indian Rupees(Rs.),No,No,No,No,2,2,Orange,Average,46
Foodrath,Gurgaon,"Shop GF, 105-H, Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon","Sushant Shopping Arcade, Sushant Lok, Gurgaon, Gurgaon",77.07936690000001,28.4613734,400,Indian Rupees(Rs.),No,No,No,No,1,3,Orange,Average,4
Daawat-e! Amritsar,Gurgaon,"Shop 10, 1st Floor, Sector 23 Market, Sector 23, Gurgaon",Sector 23,"Sector 23, Gurgaon",77.06466329999999,28.5029179,700,Indian Rupees(Rs.),No,Yes,No,No,2,2,Orange,Average,27
Sugandh,New Delhi,"4702/21, Ansari Road, Daryaganj, New Delhi",Daryaganj,"Daryaganj, New Delhi",77.24361359999999,28.6451749,400,Indian Rupees(Rs.),No,No,No,No,1,3,Yellow,Good,57
